driver_id,name,phone,license_type,years_experience,assigned_ambulance_id,assigned_base_id,status,acceptance_rate_pct
DRV0038,Praveen Pillai,9851333320,Commercial - Ambulance,13,AMB0038,A013,ON_DUTY,96.5
DRV0039,Saravanan Reddy,9630208579,Commercial - Ambulance,15,AMB0039,A013,ON_DUTY,58.5
DRV0040,Karthik Iyer,9888699799,Commercial - Ambulance,11,AMB0040,A014,ON_DUTY,81.6
DRV0041,Arun Raj,9345805719,Commercial - Ambulance,1,AMB0041,A014,ON_DUTY,99.0
DRV0042,Priya Pillai,9718740490,Commercial - Ambulance,2,AMB0042,A014,ON_DUTY,88.6
DRV0043,Prakash Chettiar,9657233178,Commercial - Ambulance,15,AMB0043,A015,ON_DUTY,95.3
DRV0044,Prakash Sharma,9568027936,Commercial - Ambulance,16,AMB0044,A015,ON_DUTY,97.6
DRV0045,Rajesh Nair,9538460431,Commercial - Ambulance,11,AMB0045,A015,ON_DUTY,69.1
DRV0046,Suresh Prasad,9454123990,Commercial - Ambulance,14,AMB0046,A016,ON_DUTY,85.5
DRV0047,Senthil Iyer,9973559879,Commercial - Ambulance,18,AMB0047,A016,ON_DUTY,56.6
DRV0048,Vijay Nair,9371011200,Commercial - Ambulance,11,AMB0048,A017,ON_DUTY,60.1
DRV0049,Meena Iyer,9652543518,Commercial - Ambulance,1,AMB0049,A017,OFF_DUTY,83.9
DRV0050,Vignesh Chettiar,9543721204,Commercial - Ambulance,2,AMB0050,A017,ON_DUTY,63.3
DRV0051,Gopal Sharma,9912224654,Commercial - Ambulance,16,AMB0051,A017,ON_DUTY,82.5
DRV0052,Meena Kumar,9318568997,Commercial - Ambulance,9,AMB0052,A018,ON_DUTY,79.2
DRV0053,Nithya Pillai,9570423569,Commercial - Ambulance,16,AMB0053,A018,ON_DUTY,60.3
DRV0054,Lakshmi Sharma,9958256589,Commercial - Ambulance,8,AMB0054,A018,ON_DUTY,86.2
DRV0055,Senthil Reddy,9114682844,Commercial - Ambulance,18,AMB0055,A018,ON_DUTY,73.0
DRV0056,Dinesh Raj,9595475899,Commercial - Ambulance,4,AMB0056,A019,ON_DUTY,83.5
DRV0057,Ramesh Chettiar,9869446962,Commercial - Ambulance,10,AMB0057,A019,ON_DUTY,77.4
DRV0058,Muthu Iyer,9996278008,Commercial - Ambulance,16,AMB0058,A019,ON_DUTY,98.1
DRV0059,Dinesh Chettiar,9691916368,Commercial - Ambulance,5,AMB0059,A020,ON_DUTY,71.9
DRV0060,Nithya Sharma,9645719501,Commercial - Ambulance,5,AMB0060,A020,OFF_DUTY,93.0
DRV0061,Muthu Iyer,9464938258,Commercial - Ambulance,17,AMB0061,A020,ON_DUTY,66.8
DRV0062,Arun Pillai,9879591310,Commercial - Ambulance,10,AMB0062,A020,ON_DUTY,91.8
DRV0063,Yogesh Chettiar,9259553112,Commercial - Ambulance,15,AMB0063,A021,ON_DUTY,78.7
DRV0064,Gopal Nair,9692616814,Commercial - Ambulance,18,AMB0064,A021,ON_DUTY,71.6
DRV0065,Nithya Nair,9302563940,Commercial - Ambulance,8,AMB0065,A021,ON_DUTY,80.2
DRV0066,Dinesh Iyer,9146865930,Commercial - Ambulance,11,AMB0066,A021,ON_DUTY,87.8
DRV0067,Deepa Iyer,9514548900,Commercial - Ambulance,5,AMB0067,A022,ON_DUTY,76.8
DRV0068,Karthik Prasad,9639331014,Commercial - Ambulance,11,AMB0068,A022,ON_DUTY,93.3
DRV0069,Revathi Chettiar,9207064620,Commercial - Ambulance,17,AMB0069,A022,ON_DUTY,95.1
DRV0070,Arun Prasad,9540211187,Commercial - Ambulance,5,AMB0070,A023,ON_DUTY,58.3
DRV0071,Divya Pillai,9463527356,Commercial - Ambulance,13,AMB0071,A023,ON_DUTY,83.6
DRV0072,Revathi Nair,9824085842,Commercial - Ambulance,18,AMB0072,A023,ON_DUTY,71.7
DRV0073,Bala Chettiar,9680911523,Commercial - Ambulance,2,AMB0073,A023,ON_DUTY,82.2
DRV0074,Dinesh Pillai,9344261532,Commercial - Ambulance,3,AMB0074,A024,ON_DUTY,74.1
DRV0075,Suresh Raj,9576396216,Commercial - Ambulance,6,AMB0075,A024,ON_DUTY,85.5
DRV0076,Sowmya Kumar,9149382425,Commercial - Ambulance,11,AMB0076,A024,ON_DUTY,90.0
DRV0077,Senthil Nair,9502482554,Commercial - Ambulance,14,AMB0077,A025,ON_DUTY,61.4
DRV0078,Saravanan Iyer,9707660630,Commercial - Ambulance,6,AMB0078,A025,ON_DUTY,62.5
DRV0079,Vijay Sharma,9510753814,Commercial - Ambulance,8,AMB0079,A025,ON_DUTY,76.9
DRV0080,Yogesh Prasad,9349310440,Commercial - Ambulance,15,AMB0080,A025,OFF_DUTY,83.1
DRV0081,Praveen Pillai,9816014770,Commercial - Ambulance,1,AMB0081,A026,ON_DUTY,94.6
DRV0082,Praveen Pillai,9827579147,Commercial - Ambulance,18,AMB0082,A026,ON_DUTY,62.0
DRV0083,Praveen Nair,9730900313,Commercial - Ambulance,10,AMB0083,A026,ON_DUTY,83.1
DRV0084,Naveen Pillai,9590523712,Commercial - Ambulance,10,AMB0084,A027,ON_DUTY,63.8
DRV0085,Manoj Chettiar,9214518079,Commercial - Ambulance,8,AMB0085,A027,ON_DUTY,71.8
DRV0086,Gopal Sharma,9417690559,Commercial - Ambulance,10,AMB0086,A027,ON_DUTY,56.0
DRV0087,Anitha Iyer,9394721069,Commercial - Ambulance,1,AMB0087,A027,ON_DUTY,79.9
DRV0088,Priya Kumar,9751124015,Commercial - Ambulance,16,AMB0088,A028,ON_DUTY,91.6
DRV0089,Sowmya Pillai,9932945529,Commercial - Ambulance,8,AMB0089,A028,ON_DUTY,81.7
DRV0090,Gopal Moorthy,9783563240,Commercial - Ambulance,7,AMB0090,A028,ON_DUTY,82.3
DRV0091,Priya Prasad,9774576271,Commercial - Ambulance,4,AMB0091,A029,ON_DUTY,94.7
DRV0092,Lakshmi Kumar,9431714152,Commercial - Ambulance,15,AMB0092,A029,ON_DUTY,56.5
DRV0093,Gopal Prasad,9196779973,Commercial - Ambulance,10,AMB0093,A029,ON_DUTY,69.4
DRV0094,Naveen Prasad,9315601773,Commercial - Ambulance,5,AMB0094,A029,ON_DUTY,89.6
DRV0095,Sowmya Nair,9669998399,Commercial - Ambulance,17,AMB0095,A030,ON_DUTY,95.2
DRV0096,Anitha Prasad,9375919523,Commercial - Ambulance,16,AMB0096,A030,ON_DUTY,97.6
DRV0097,Senthil Nair,9963538119,Commercial - Ambulance,4,AMB0097,A030,ON_DUTY,75.6
DRV0098,Vijay Prasad,9909763993,Commercial - Ambulance,8,AMB0098,A031,ON_DUTY,92.8
DRV0099,Kavitha Iyer,9963919401,Commercial - Ambulance,18,AMB0099,A031,ON_DUTY,71.1
DRV0100,Divya Iyer,9114945047,Commercial - Ambulance,9,AMB0100,A031,ON_DUTY,78.6
DRV0101,Praveen Nair,9822443971,Commercial - Ambulance,9,AMB0101,A031,ON_DUTY,80.7
DRV0102,Anitha Nair,9216335741,Commercial - Ambulance,8,AMB0102,A032,ON_DUTY,75.7
DRV0103,Kannan Reddy,9452194058,Commercial - Ambulance,8,AMB0103,A032,ON_DUTY,83.5
DRV0104,Lakshmi Chettiar,9852775879,Commercial - Ambulance,10,AMB0104,A032,ON_DUTY,83.6
DRV0105,Suresh Prasad,9148690765,Commercial - Ambulance,2,AMB0105,A033,ON_DUTY,68.4
DRV0106,Rajesh Raj,9204359116,Commercial - Ambulance,8,AMB0106,A033,ON_DUTY,94.0
DRV0107,Ramesh Iyer,9587096273,Commercial - Ambulance,12,AMB0107,A033,ON_DUTY,84.5
DRV0108,Kavitha Reddy,9550033924,Commercial - Ambulance,5,AMB0108,A033,ON_DUTY,94.0
DRV0109,Lakshmi Raj,9995171130,Commercial - Ambulance,16,AMB0109,A034,ON_DUTY,82.1
DRV0110,Muthu Kumar,9841183219,Commercial - Ambulance,12,AMB0110,A034,ON_DUTY,64.6
DRV0111,Praveen Moorthy,9489431174,Commercial - Ambulance,4,AMB0111,A034,ON_DUTY,98.2
DRV0112,Gopal Reddy,9792377512,Commercial - Ambulance,12,AMB0112,A034,ON_DUTY,57.7
DRV0113,Muthu Moorthy,9231167999,Commercial - Ambulance,15,AMB0113,A035,ON_DUTY,59.0
DRV0114,Sathish Sharma,9122932394,Commercial - Ambulance,2,AMB0114,A035,ON_DUTY,89.6
DRV0115,Dinesh Prasad,9945011302,Commercial - Ambulance,7,AMB0115,A035,ON_DUTY,58.0
DRV0116,Meena Reddy,9322433532,Commercial - Ambulance,7,AMB0116,A036,ON_DUTY,90.8
DRV0117,Dinesh Nair,9931471931,Commercial - Ambulance,5,AMB0117,A036,ON_DUTY,89.7
DRV0118,Kannan Kumar,9397721596,Commercial - Ambulance,5,AMB0118,A036,ON_DUTY,98.5
DRV0119,Vignesh Pillai,9957397689,Commercial - Ambulance,6,AMB0119,A036,ON_DUTY,59.8
DRV0120,Revathi Kumar,9241522640,Commercial - Ambulance,1,AMB0120,A037,OFF_DUTY,70.8
DRV0121,Divya Moorthy,9732276010,Commercial - Ambulance,11,AMB0121,A037,ON_DUTY,55.7
DRV0122,Muthu Kumar,9236105947,Commercial - Ambulance,14,AMB0122,A037,ON_DUTY,78.1
DRV0123,Kavitha Raj,9611365210,Commercial - Ambulance,15,AMB0123,A038,ON_DUTY,89.2
DRV0124,Saravanan Sharma,9217095851,Commercial - Ambulance,15,AMB0124,A038,OFF_DUTY,77.2
DRV0125,Kannan Kumar,9880871219,Commercial - Ambulance,17,AMB0125,A038,ON_DUTY,68.3
DRV0126,Lakshmi Kumar,9165310776,Commercial - Ambulance,16,AMB0126,A039,ON_DUTY,92.3
DRV0127,Naveen Raj,9626422169,Commercial - Ambulance,15,AMB0127,A039,ON_DUTY,58.2
DRV0128,Vijay Nair,9753154389,Commercial - Ambulance,5,AMB0128,A039,ON_DUTY,57.9
DRV0129,Muthu Sharma,9779760958,Commercial - Ambulance,18,AMB0129,A040,ON_DUTY,86.3
DRV0130,Manoj Sharma,9669681065,Commercial - Ambulance,10,AMB0130,A040,ON_DUTY,75.0
DRV0131,Kannan Iyer,9206492059,Commercial - Ambulance,4,AMB0131,A040,ON_DUTY,92.5
